,p_resolution,p_experiment,p_doi,p_chain_uniprot_map,p_chains,p_pmid,p_ec_numbers,p_space_group,p_deposition_date,p_chemicals
2ZSF,2.8,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,05-SEP-08,"['ATP', 'ACT', 'FLC', 'NA', 'GOL', 'ADP']"
3AEZ,2.2,X-RAY DIFFRACTION,10.1016/J.JMB.2010.04.064,{'A': ['P9WPA7']},['A'],20451532,"[('A', ['2.7.1.33'])]",P 31 2 1,18-FEB-10,"['GDP', 'GOL', 'NA', 'PAZ']"
3AF0,2.5,X-RAY DIFFRACTION,10.1016/J.JMB.2010.04.064,{'A': ['P9WPA7']},['A'],20451532,"[('A', ['2.7.1.33'])]",P 31 2 1,19-FEB-10,"['GDP', 'GOL', 'CL', 'PAU']"
3AF1,2.5,X-RAY DIFFRACTION,10.1016/J.JMB.2010.04.064,{'A': ['P9WPA7']},['A'],20451532,"[('A', ['2.7.1.33'])]",P 31 2 1,19-FEB-10,"['GDP', 'GOL', 'CL', 'FLC']"
3AF2,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2010.04.064,{'A': ['P9WPA7']},['A'],20451532,"[('A', ['2.7.1.33'])]",P 31 2 1,22-FEB-10,"['GOL', 'ACP']"
3AF3,2.35,X-RAY DIFFRACTION,10.1016/J.JMB.2010.04.064,{'A': ['P9WPA7']},['A'],20451532,"[('A', ['2.7.1.33'])]",P 31 2 1,22-FEB-10,"['GOL', 'GCP', 'PAU']"
3AF4,2.6,X-RAY DIFFRACTION,10.1016/J.JMB.2010.04.064,{'A': ['P9WPA7']},['A'],20451532,"[('A', ['2.7.1.33'])]",P 31 2 1,22-FEB-10,"['GOL', 'GCP']"
3AVO,2.55,X-RAY DIFFRACTION,10.1107/S0907444911024462,{'A': ['P9WPA7']},['A'],21904030,"[('A', ['2.7.1.33'])]",P 31 2 1,06-MAR-11,"['GOL', 'PAU', 'FLC']"
3AVP,2.6,X-RAY DIFFRACTION,10.1107/S0907444911024462,{'A': ['P9WPA7']},['A'],21904030,"[('A', ['2.7.1.33'])]",P 31 2 1,06-MAR-11,"['GOL', 'MV2', 'NA', 'FLC']"
3AVQ,3.0,X-RAY DIFFRACTION,10.1107/S0907444911024462,{'A': ['P9WPA7']},['A'],21904030,"[('A', ['2.7.1.33'])]",P 31 2 1,06-MAR-11,"['MV1', 'GOL', 'FLC']"
3B18,2.75,X-RAY DIFFRACTION,,{'A': ['P9WM67']},['A'],22292955,,I 21 3,26-JUN-11,['DAO']
3BAF,2.25,X-RAY DIFFRACTION,,{'A': ['P9WPY3']},['A'],,"[('A', ['2.7.1.71'])]",P 32 2 1,07-NOV-07,"['ANP', 'SKM']"
3BV0,2.21,X-RAY DIFFRACTION,10.1021/BI902097J,"{'A': ['P9WQ81'], 'B': ['P9WQ81']}","['A', 'B']",20565114,"[('A', ['2.6.1.62']), ('B', ['2.6.1.62'])]",P 21 21 21,04-JAN-08,['PLP']
3C90,1.79,X-RAY DIFFRACTION,10.1107/S0907444908007105,"{'A': ['P9WMM9'], 'X': ['P9WMM9'], 'C': ['P9WMM9'], 'B': ['P9WMM9']}","['A', 'C', 'B', 'X']",18560150,"[('A', ['3.6.1.31']), ('C', ['3.6.1.31']), ('B', ['3.6.1.31']), ('X', ['3.6.1.31'])]",C 1 2 1,14-FEB-08,
3CE6,1.6,X-RAY DIFFRACTION,10.1110/PS.038125.108,"{'A': ['P9WGV3'], 'C': ['P9WGV3'], 'B': ['P9WGV3'], 'D': ['P9WGV3']}","['A', 'B', 'C', 'D']",18815415,"[('A', ['3.3.1.1']), ('B', ['3.3.1.1']), ('C', ['3.3.1.1']), ('D', ['3.3.1.1'])]",P 1 21 1,28-FEB-08,"['NAD', 'ADN']"
3COV,1.5,X-RAY DIFFRACTION,10.1002/CBIC.200800437,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",18821554,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,29-MAR-08,"['SO4', 'GOL', 'EOH']"
3COW,1.8,X-RAY DIFFRACTION,10.1002/CBIC.200800437,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",18821554,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,29-MAR-08,"['GOL', 'EOH', '52H']"
3COY,2.03,X-RAY DIFFRACTION,10.1002/CBIC.200800437,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",18821554,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,29-MAR-08,"['GOL', 'EOH', '53H']"
3COZ,2.0,X-RAY DIFFRACTION,10.1002/CBIC.200800437,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",18821554,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,29-MAR-08,"['SO4', 'GOL', 'EOH', '54H']"
3D8V,2.55,X-RAY DIFFRACTION,10.1107/S0907444909001036,{'A': ['P9WMN3']},['A'],19237750,"[('A', ['2.7.7.23', '2.3.1.157'])]",H 3 2,25-MAY-08,['UD1']
3D98,2.5,X-RAY DIFFRACTION,10.1107/S0907444909001036,{'A': ['P9WMN3']},['A'],19237750,"[('A', ['2.7.7.23', '2.3.1.157'])]",H 3 2,27-MAY-08,
3DA8,1.3,X-RAY DIFFRACTION,10.1016/J.JMB.2009.04.044,"{'A': ['P9WHM5'], 'B': ['P9WHM5']}","['A', 'B']",19394344,"[('A', ['2.1.2.2']), ('B', ['2.1.2.2'])]",P 21 21 21,28-MAY-08,"['MG', 'IOD', 'BME']"
3DC2,2.7,X-RAY DIFFRACTION,10.1021/BI800212B,"{'A': ['P9WNX3'], 'B': ['P9WNX3']}","['A', 'B']",18627175,"[('A', ['1.1.1.95']), ('B', ['1.1.1.95'])]",P 65 2 2,03-JUN-08,"['SER', 'TLA']"
3DCJ,2.2,X-RAY DIFFRACTION,10.1016/J.JMB.2009.04.044,"{'A': ['P9WHM5'], 'B': ['P9WHM5']}","['A', 'B']",19394344,"[('A', ['2.1.2.2']), ('B', ['2.1.2.2'])]",P 1 21 1,03-JUN-08,"['MG', 'CL', 'NO3', 'THH']"
3DDN,2.4,X-RAY DIFFRACTION,10.1021/BI800212B,"{'A': ['P9WNX3'], 'B': ['P9WNX3']}","['A', 'B']",18627175,"[('A', ['1.1.1.95']), ('B', ['1.1.1.95'])]",P 65 2 2,05-JUN-08,"['HPV', 'TLA']"
3DHY,2.0,X-RAY DIFFRACTION,10.1110/PS.038125.108,"{'A': ['P9WGV3'], 'C': ['P9WGV3'], 'B': ['P9WGV3'], 'D': ['P9WGV3']}","['A', 'B', 'D', 'C']",18815415,"[('A', ['3.3.1.1']), ('B', ['3.3.1.1']), ('D', ['3.3.1.1']), ('C', ['3.3.1.1'])]",P 1 21 1,19-JUN-08,"['NAD', '3DH']"
3DJ4,2.38,X-RAY DIFFRACTION,10.1016/J.JMB.2008.12.031,{'A': ['P9WMN3']},['A'],19121323,"[('A', ['2.7.7.23', '2.3.1.157'])]",H 3,22-JUN-08,"['MG', 'UD1', 'CO']"
3DKI,2.1,X-RAY DIFFRACTION,10.1074/JBC.M804877200,"{'A': ['P9WP53'], 'B': ['P9WP53']}","['A', 'B']",18799456,"[('A', ['2.5.1.65']), ('B', ['2.5.1.65'])]",P 21 21 21,25-JUN-08,"['LLP', 'NA']"
3DLA,2.35,X-RAY DIFFRACTION,10.1038/NSMB.1567,"{'A': ['P9WJJ3'], 'C': ['P9WJJ3'], 'B': ['P9WJJ3'], 'D': ['P9WJJ3']}","['A', 'C', 'B', 'D']",19270703,"[('A', ['6.3.5.1']), ('C', ['6.3.5.1']), ('B', ['6.3.5.1']), ('D', ['6.3.5.1'])]",P 41 21 2,26-JUN-08,"['ONL', 'GOL', 'NXX']"
3DWG,1.53,X-RAY DIFFRACTION,10.1021/BI800915J,"{'A': ['P9WP53'], 'C': ['P9WP33'], 'B': ['P9WP53']}","['A', 'C', 'B']",18771296,"[('A', ['2.5.1.47']), ('B', ['2.5.1.47'])]",P 1 21 1,22-JUL-08,['PLP']
3DWI,2.81,X-RAY DIFFRACTION,10.1021/BI800915J,"{'A': ['P9WP53'], 'B': ['P9WP53']}","['A', 'B']",18771296,"[('A', ['2.5.1.47']), ('B', ['2.5.1.47'])]",P 21 21 21,22-JUL-08,"['SO4', 'PLP']"
3E53,2.35,X-RAY DIFFRACTION,10.1038/NCHEMBIO.143,{'A': ['P9WQ59']},['A'],19182784,"[('A', ['6.2.1.-'])]",P 21 21 21,13-AUG-08,['MSE']
3EKL,1.51,X-RAY DIFFRACTION,10.1016/J.JMB.2009.01.003,{'A': ['P9WQA3']},['A'],19167403,"[('A', ['4.1.2.13'])]",I 2 2 2,19-SEP-08,"['ZN', 'NA', '13P']"
3EKZ,2.07,X-RAY DIFFRACTION,10.1016/J.JMB.2009.01.003,{'A': ['P9WQA3']},['A'],19167403,"[('A', ['4.1.2.13'])]",I 2 2 2,19-SEP-08,"['G3P', 'ZN', 'NA', '13P']"
3ELF,1.31,X-RAY DIFFRACTION,10.1016/J.JMB.2009.01.003,{'A': ['P9WQA3']},['A'],19167403,"[('A', ['4.1.2.13'])]",I 2 2 2,22-SEP-08,"['ZN', '2FP', 'NA']"
3FGN,1.85,X-RAY DIFFRACTION,10.1021/BI902097J,"{'A': ['P9WPQ5'], 'C': ['P9WPQ5'], 'B': ['P9WPQ5'], 'D': ['P9WPQ5']}","['A', 'C', 'B', 'D']",20565114,"[('A', ['6.3.3.3']), ('C', ['6.3.3.3']), ('B', ['6.3.3.3']), ('D', ['6.3.3.3'])]",P 21 21 21,08-DEC-08,
3FGP,2.05,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2008.12.019,"{'A': ['P9WP53'], 'B': ['P9WP53']}","['A', 'B']",19101553,"[('A', ['2.5.1.65']), ('B', ['2.5.1.65'])]",P 21 21 21,08-DEC-08,['LLP']
3FIG,2.3,X-RAY DIFFRACTION,10.1073/PNAS.0400820101,"{'A': ['P9WQB3'], 'B': ['P9WQB3']}","['A', 'B']",15159544,"[('A', ['2.3.3.13']), ('B', ['2.3.3.13'])]",P 1 21 1,11-DEC-08,"['GOL', 'ZN', 'LEU']"
3FMF,2.05,X-RAY DIFFRACTION,10.1021/BI902097J,"{'A': ['P9WPQ5'], 'C': ['P9WPQ5'], 'B': ['P9WPQ5'], 'D': ['P9WPQ5']}","['A', 'C', 'B', 'D']",20565114,"[('A', ['6.3.3.3']), ('C', ['6.3.3.3']), ('B', ['6.3.3.3']), ('D', ['6.3.3.3'])]",P 21 21 21,21-DEC-08,"['CSX', 'DSD']"
3FMI,2.18,X-RAY DIFFRACTION,10.1021/BI902097J,"{'A': ['P9WPQ5'], 'C': ['P9WPQ5'], 'B': ['P9WPQ5'], 'D': ['P9WPQ5']}","['A', 'C', 'B', 'D']",20565114,"[('A', ['6.3.3.3']), ('C', ['6.3.3.3']), ('B', ['6.3.3.3']), ('D', ['6.3.3.3'])]",P 21 21 21,22-DEC-08,"['SO4', 'KAP', 'CSX']"
3FNE,1.98,X-RAY DIFFRACTION,10.1002/CMDC.200800261,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'D': ['P9WGR1']}","['A', 'B', 'D', 'C']",19130456,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9']), ('D', ['1.3.1.9']), ('C', ['1.3.1.9'])]",C 1 2 1,24-DEC-08,"['NAD', '8PC']"
3FNF,2.3,X-RAY DIFFRACTION,10.1002/CMDC.200800261,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'D': ['P9WGR1']}","['A', 'B', 'C', 'D']",19130456,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9']), ('C', ['1.3.1.9']), ('D', ['1.3.1.9'])]",C 1 2 1,24-DEC-08,"['NAD', 'JPM']"
3FNG,1.97,X-RAY DIFFRACTION,10.1002/CMDC.200800261,{'A': ['P9WGR1']},['A'],19130456,"[('A', ['1.3.1.9'])]",I 41 2 2,24-DEC-08,"['NAD', 'JPL']"
3FNH,2.8,X-RAY DIFFRACTION,10.1002/CMDC.200800261,{'A': ['P9WGR1']},['A'],19130456,"[('A', ['1.3.1.9'])]",I 41 2 2,24-DEC-08,"['NAD', 'JPJ']"
3FOQ,3.41,X-RAY DIFFRACTION,10.1107/S1744309109010252,{'A': ['P9WMN3']},['A'],19407371,"[('A', ['2.7.7.23', '2.3.1.157'])]",I 4 3 2,31-DEC-08,['SO4']
3FPA,2.3,X-RAY DIFFRACTION,10.1021/BI902097J,"{'A': ['P9WPQ5'], 'C': ['P9WPQ5'], 'B': ['P9WPQ5'], 'D': ['P9WPQ5']}","['A', 'C', 'B', 'D']",20565114,"[('A', ['6.3.3.3']), ('C', ['6.3.3.3']), ('B', ['6.3.3.3']), ('D', ['6.3.3.3'])]",P 21 21 21,04-JAN-09,"['DTB', 'PO4', 'CSX', 'MG']"
3FSX,2.15,X-RAY DIFFRACTION,10.1016/J.JMB.2009.04.046,"{'A': ['P9WP21'], 'C': ['P9WP21'], 'B': ['P9WP21'], 'E': ['P9WP21'], 'D': ['P9WP21']}","['A', 'C', 'B', 'E', 'D']",19394346,"[('A', ['2.3.1.117']), ('C', ['2.3.1.117']), ('B', ['2.3.1.117']), ('E', ['2.3.1.117']), ('D', ['2.3.1.117'])]",I 21 3,12-JAN-09,"['ACY', 'NA', 'MPD', 'MG']"
3FSY,1.97,X-RAY DIFFRACTION,10.1016/J.JMB.2009.04.046,"{'A': ['P9WP21'], 'C': ['P9WP21'], 'B': ['P9WP21'], 'E': ['P9WP21'], 'D': ['P9WP21']}","['A', 'C', 'B', 'E', 'D']",19394346,"[('A', ['2.3.1.117']), ('C', ['2.3.1.117']), ('B', ['2.3.1.117']), ('E', ['2.3.1.117']), ('D', ['2.3.1.117'])]",I 21 3,12-JAN-09,"['ACY', 'NA', 'SCA', 'MG', 'MPD']"
3FVE,2.6,X-RAY DIFFRACTION,10.1107/S0907444909002522,{'A': ['P9WP19']},['A'],19307721,"[('A', ['5.1.1.7'])]",P 65 2 2,15-JAN-09,"['GOL', 'DTT']"
3GO6,1.98,X-RAY DIFFRACTION,,"{'A': ['P71913'], 'B': ['P71913']}","['A', 'B']",,"[('A', ['2.7.1.15']), ('B', ['2.7.1.15'])]",C 1 2 1,18-MAR-09,"['MG', 'RIB', 'ADP']"
3GO7,2.5,X-RAY DIFFRACTION,,"{'A': ['P71913'], 'B': ['P71913']}","['A', 'B']",,"[('A', ['2.7.1.15']), ('B', ['2.7.1.15'])]",C 1 2 1,18-MAR-09,"['MG', 'RIB']"
3GVG,1.55,X-RAY DIFFRACTION,10.1016/J.TUBE.2014.12.003,"{'A': ['P9WG43'], 'B': ['P9WG43']}","['A', 'B']",25613812,"[('A', ['5.3.1.1']), ('B', ['5.3.1.1'])]",C 1 2 1,31-MAR-09,['GOL']
3GWC,1.9,X-RAY DIFFRACTION,10.1016/J.TUBE.2014.12.003,"{'A': ['P9WG57'], 'C': ['P9WG57'], 'B': ['P9WG57'], 'E': ['P9WG57'], 'D': ['P9WG57'], 'G': ['P9WG57'], 'F': ['P9WG57'], 'H': ['P9WG57']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",25613812,"[('A', ['2.1.1.148']), ('C', ['2.1.1.148']), ('B', ['2.1.1.148']), ('E', ['2.1.1.148']), ('D', ['2.1.1.148']), ('G', ['2.1.1.148']), ('F', ['2.1.1.148']), ('H', ['2.1.1.148'])]",P 1 21 1,31-MAR-09,"['FAD', 'GOL', 'UFP']"
3H5E,2.0,X-RAY DIFFRACTION,10.1002/PROT.22856,"{'A': ['P9WK95'], 'B': ['P9WK95']}","['A', 'B']",20938981,"[('A', ['4.2.1.33']), ('B', ['4.2.1.33'])]",P 65 2 2,22-APR-09,
3H5H,2.5,X-RAY DIFFRACTION,10.1002/PROT.22856,"{'A': ['P9WK95'], 'B': ['P9WK95']}","['A', 'B']",20938981,"[('A', ['4.2.1.33']), ('B', ['4.2.1.33'])]",C 1 2 1,22-APR-09,
3H5J,1.2,X-RAY DIFFRACTION,10.1002/PROT.22856,"{'A': ['P9WK95'], 'B': ['P9WK95']}","['A', 'B']",20938981,"[('A', ['4.2.1.33']), ('B', ['4.2.1.33'])]",P 1 21 1,22-APR-09,"['SO4', 'EDO']"
3H6D,1.8,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2010.05.018,{'A': ['P9WNS5']},['A'],20493855,"[('A', ['3.6.1.23'])]",P 63,23-APR-09,"['MG', 'DUP', 'TRS']"
3H7F,1.5,X-RAY DIFFRACTION,10.1016/J.TUBE.2014.12.003,"{'A': ['P9WGI9'], 'B': ['P9WGI9']}","['A', 'B']",25613812,"[('A', ['2.1.2.1']), ('B', ['2.1.2.1'])]",P 21 21 21,24-APR-09,"['MG', 'LLP']"
3H7Q,2.25,X-RAY DIFFRACTION,,{'A': ['P9WQD3']},['A'],,"[('A', ['2.7.8.7'])]",H 3,28-APR-09,['BCN']
3HA3,2.2,X-RAY DIFFRACTION,,{'A': ['Q79FX8']},['A'],,"[('A', ['2.1.1.-'])]",P 31 2 1,01-MAY-09,['SAH']
3HA5,2.3,X-RAY DIFFRACTION,,{'A': ['Q79FX8']},['A'],,"[('A', ['2.1.1.-'])]",P 31 2 1,01-MAY-09,['SFG']
3HA7,2.35,X-RAY DIFFRACTION,,{'A': ['Q79FX8']},['A'],,"[('A', ['2.1.1.-'])]",P 31 2 1,01-MAY-09,['B32']
3HEM,2.39,X-RAY DIFFRACTION,,{'A': ['P9WPB5']},['A'],,"[('A', ['2.1.1.79'])]",I 41 2 2,09-MAY-09,"['CO3', 'D22']"
3HGB,1.75,X-RAY DIFFRACTION,10.1007/S10969-010-9087-6,{'A': ['P9WN55']},['A'],20364333,,C 1 2 1,13-MAY-09,
3HPS,1.8,X-RAY DIFFRACTION,,"{'A': ['P9WQB3'], 'B': ['P9WQB3']}","['A', 'B']",,"[('A', ['2.3.3.13']), ('B', ['2.3.3.13'])]",P 1 21 1,04-JUN-09,"['GOL', 'ZN', 'LEU', 'COI']"
3HPX,2.03,X-RAY DIFFRACTION,10.1021/BI201717J,"{'A': ['P9WQB3'], 'B': ['P9WQB3']}","['A', 'B']",22352945,"[('A', ['2.3.3.13']), ('B', ['2.3.3.13'])]",P 1,05-JUN-09,"['NI', 'GOL']"
3HPZ,2.2,X-RAY DIFFRACTION,,"{'A': ['P9WQB3'], 'B': ['P9WQB3']}","['A', 'B']",,"[('A', ['2.3.3.13']), ('B', ['2.3.3.13'])]",P 1 21 1,05-JUN-09,"['GOL', 'ZN', 'BPV', 'CL']"
3HQ1,1.7,X-RAY DIFFRACTION,,"{'A': ['P9WQB3'], 'B': ['P9WQB3']}","['A', 'B']",,"[('A', ['2.3.3.13']), ('B', ['2.3.3.13'])]",P 1 21 1,05-JUN-09,"['GOL', 'CL', 'MN', 'FLC']"
3HQJ,1.95,X-RAY DIFFRACTION,10.1016/J.JMB.2009.08.065,{'A': ['P9WQD3']},['A'],19733180,"[('A', ['2.7.8.7'])]",P 2 3,07-JUN-09,"['MG', 'COA']"
3HT5,1.9,X-RAY DIFFRACTION,10.1107/S1744309109036690,{'A': ['P9WQ75']},['A'],19923721,"[('A', ['2.6.1.42'])]",P 21 21 2,11-JUN-09,['PMP']
3HWK,2.3,X-RAY DIFFRACTION,10.1016/J.TUBE.2014.12.003,"{'A': ['I6Y9Q3'], 'C': ['I6Y9Q3'], 'B': ['I6Y9Q3'], 'E': ['I6Y9Q3'], 'D': ['I6Y9Q3'], 'G': ['I6Y9Q3'], 'F': ['I6Y9Q3'], 'H': ['I6Y9Q3']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",25613812,"[('A', ['2.3.3.1']), ('C', ['2.3.3.1']), ('B', ['2.3.3.1']), ('E', ['2.3.3.1']), ('D', ['2.3.3.1']), ('G', ['2.3.3.1']), ('F', ['2.3.3.1']), ('H', ['2.3.3.1'])]",P 21 21 21,17-JUN-09,['SIN']
3HZA,1.2,X-RAY DIFFRACTION,10.1093/NAR/GKQ584,{'A': ['P9WNS5']},['A'],20601405,"[('A', ['3.6.1.23'])]",P 63,23-JUN-09,"['GOL', 'MG', 'DUP', 'TRS']"
3HZG,2.45,X-RAY DIFFRACTION,10.1016/J.TUBE.2014.12.003,"{'A': ['P9WG57'], 'C': ['P9WG57'], 'B': ['P9WG57'], 'D': ['P9WG57']}","['A', 'C', 'B', 'D']",25613812,"[('A', ['2.1.1.148']), ('C', ['2.1.1.148']), ('B', ['2.1.1.148']), ('D', ['2.1.1.148'])]",P 21 21 21,23-JUN-09,"['FAD', 'GOL', 'PO4']"
3HZU,2.1,X-RAY DIFFRACTION,10.1002/PRO.2084,{'A': ['P9WHF7']},['A'],22544630,"[('A', ['2.8.1.1'])]",P 21 21 2,24-JUN-09,"['SO4', 'GOL']"
3I93,1.8,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2010.05.018,{'A': ['P9WNS5']},['A'],20493855,"[('A', ['3.6.1.23'])]",P 63,10-JUL-09,"['MG', 'DUP', 'TRS']"
3IB7,1.6,X-RAY DIFFRACTION,10.1074/JBC.M109.049635,{'A': ['P9WP65']},['A'],19801656,"[('A', ['3.1.4.17'])]",P 41 21 2,15-JUL-09,"['MPD', 'FE', 'MN', 'BTB', 'ACT']"
3IB8,1.8,X-RAY DIFFRACTION,10.1074/JBC.M109.049635,{'A': ['P9WP65']},['A'],19801656,"[('A', ['3.1.4.17'])]",P 41 21 2,15-JUL-09,"['FE', 'ACT', 'AMP', 'MPD', 'MN', 'BTB']"
3ICO,2.15,X-RAY DIFFRACTION,10.1016/J.TUBE.2014.12.003,"{'A': ['P9WQP5'], 'C': ['P9WQP5'], 'B': ['P9WQP5'], 'D': ['P9WQP5']}","['A', 'C', 'B', 'D']",25613812,"[('A', ['3.1.1.31']), ('C', ['3.1.1.31']), ('B', ['3.1.1.31']), ('D', ['3.1.1.31'])]",P 1,17-JUL-09,['SO4']
3IFT,2.0,X-RAY DIFFRACTION,10.1007/S10969-010-9087-6,{'A': ['P9WN55']},['A'],20364333,,C 1 2 1,25-JUL-09,
3II4,2.42,X-RAY DIFFRACTION,10.1021/BI9016186,"{'A': ['P9WHH9'], 'B': ['P9WHH9']}","['A', 'B']",20078138,"[('A', ['1.8.1.4']), ('B', ['1.8.1.4'])]",P 21 21 21,31-JUL-09,"['3II', 'FAD']"
3IJF,1.99,X-RAY DIFFRACTION,10.1016/J.JSB.2009.12.019,{'X': ['P9WPH3']},['X'],20035876,"[('X', ['3.5.4.5'])]",C 2 2 2,04-AUG-09,['ZN']
3IMC,1.6,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",19780086,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,10-AUG-09,"['SO4', 'GOL', 'EOH', 'BZ3']"
3IME,2.39,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19780086,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,10-AUG-09,"['GOL', 'BZ2', 'EOH']"
3IMG,1.8,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19780086,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,10-AUG-09,"['EOH', 'GOL', 'SO4', 'BZ3', 'BZ2']"
3IOB,1.8,X-RAY DIFFRACTION,10.1002/CBIC.200900537,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",19827080,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,14-AUG-09,"['SO4', 'GOL', 'A4D', 'EOH']"
3IOC,2.5,X-RAY DIFFRACTION,10.1002/CBIC.200900537,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19827080,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,14-AUG-09,"['GOL', 'A5D']"
3IOD,1.75,X-RAY DIFFRACTION,10.1002/CBIC.200900537,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",19827080,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,14-AUG-09,"['SO4', 'GOL', 'EOH', 'A6D']"
3IOE,1.95,X-RAY DIFFRACTION,10.1002/CBIC.200900537,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19827080,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,14-AUG-09,"['SO4', 'GOL', 'A7D', 'EOH']"
3IOM,2.14,X-RAY DIFFRACTION,10.1016/J.BMC.2010.05.009,"{'A': ['P9WP01'], 'B': ['P9WP01']}","['A', 'B']",20570524,"[('A', ['2.4.2.1']), ('B', ['2.4.2.1'])]",H 3,14-AUG-09,"['SO4', 'GNG']"
3ISJ,2.2,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",19780086,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,26-AUG-09,"['SO4', 'GOL', 'EOH', 'A8D']"
3IT4,1.7,X-RAY DIFFRACTION,10.1016/J.JMB.2010.02.018,"{'A': ['P9WPZ3'], 'C': ['P9WPZ3'], 'B': ['P9WPZ3'], 'D': ['P9WPZ3']}","['A', 'C', 'B', 'D']",20184895,"[('A', ['2.3.1.35']), ('C', ['2.3.1.35']), ('B', ['2.3.1.1']), ('D', ['2.3.1.1'])]",P 21 21 21,27-AUG-09,"['BEZ', 'ACT', 'GOL']"
3IT6,2.4,X-RAY DIFFRACTION,10.1016/J.JMB.2010.02.018,"{'A': ['P9WPZ3'], 'C': ['P9WPZ3'], 'B': ['P9WPZ3'], 'D': ['P9WPZ3']}","['A', 'C', 'B', 'D']",20184895,"[('A', ['2.3.1.35']), ('C', ['2.3.1.35']), ('B', ['2.3.1.1']), ('D', ['2.3.1.1'])]",P 21 21 21,27-AUG-09,['ORN']
3IUB,1.5,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19780086,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,31-AUG-09,"['EOH', 'FG2', 'EDO']"
3IUE,1.73,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19780086,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,31-AUG-09,"['GOL', 'EOH', 'EDO', 'FG3']"
3IVC,2.13,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['B', 'A']",19780086,"[('B', ['6.3.2.1']), ('A', ['6.3.2.1'])]",P 1 21 1,31-AUG-09,"['SO4', 'GOL', 'FG4', 'EOH']"
3IVG,1.95,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19780086,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,01-SEP-09,"['GOL', 'EOH', 'FG5', 'EDO']"
