,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
1B3N,2.65,X-RAY DIFFRACTION,10.1074/JBC.274.10.6031,['CER'],{'A': ['P0AAI5']},['A'],10037680,P 31 2 1,14-DEC-98,"[('A', ['2.3.1.41'])]"
1B4E,2.0,X-RAY DIFFRACTION,10.1021/BI982137W,"['SO4', 'GOL', 'ZN', 'SHF']",{'A': ['P0ACB2']},['A'],10194344,I 4 2 2,19-DEC-98,"[('A', ['4.2.1.24'])]"
1B4X,2.45,X-RAY DIFFRACTION,10.1093/PROTEIN/13.2.105,"['PLP', 'MAE']",{'A': ['P00509']},['A'],10708649,C 2 2 21,30-DEC-98,"[('A', ['2.6.1.1'])]"
1B57,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1999.2609,"['ZN', 'CL', 'PGH', 'NA']","{'A': ['P0AB71'], 'B': ['P0AB71']}","['A', 'B']",10080900,P 31 2 1,12-JAN-99,"[('A', ['4.1.2.13']), ('B', ['4.1.2.13'])]"
1B5T,2.5,X-RAY DIFFRACTION,10.1038/7594,"['HG', 'FAD']","{'A': ['P0AEZ1'], 'C': ['P0AEZ1'], 'B': ['P0AEZ1']}","['A', 'C', 'B']",10201405,C 1 2 1,07-JAN-99,"[('A', ['1.7.99.5']), ('C', ['1.7.99.5']), ('B', ['1.7.99.5'])]"
1B6R,2.1,X-RAY DIFFRACTION,10.1021/BI991618S,['SO4'],{'A': ['P09029']},['A'],10569930,C 2 2 21,17-JAN-99,"[('A', ['4.1.1.21'])]"
1B6S,2.5,X-RAY DIFFRACTION,10.1021/BI991618S,"['MG', 'ADP']","{'A': ['P09029'], 'C': ['P09029'], 'B': ['P09029'], 'D': ['P09029']}","['A', 'B', 'C', 'D']",10569930,P 1,18-JAN-99,"[('A', ['4.1.1.21']), ('B', ['4.1.1.21']), ('C', ['4.1.1.21']), ('D', ['4.1.1.21'])]"
1B6T,1.8,X-RAY DIFFRACTION,10.1093/EMBOJ/18.8.2021,"['SO4', 'COD']","{'A': ['P0A6I6'], 'B': ['P0A6I6']}","['A', 'B']",10205156,I 2 3,18-JAN-99,"[('A', ['2.7.7.3']), ('B', ['2.7.7.3'])]"
1B8J,1.9,X-RAY DIFFRACTION,10.1074/JBC.274.13.8351,"['SO4', 'MG', 'ZN', 'SVA']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",10085061,I 2 2 2,01-FEB-99,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1B93,1.9,X-RAY DIFFRACTION,10.1016/S0969-2126(99)80041-0,"['FMT', 'PO4']","{'A': ['P0A731'], 'C': ['P0A731'], 'B': ['P0A731']}","['A', 'C', 'B']",10368300,P 65 2 2,19-FEB-99,"[('A', ['4.2.3.3']), ('C', ['4.2.3.3']), ('B', ['4.2.3.3'])]"
1B9L,2.9,X-RAY DIFFRACTION,10.1016/S0969-2126(99)80067-7,,"{'A': ['P0AC19'], 'C': ['P0AC19'], 'B': ['P0AC19'], 'E': ['P0AC19'], 'D': ['P0AC19'], 'G': ['P0AC19'], 'F': ['P0AC19'], 'H': ['P0AC19']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",10378270,P 41,11-FEB-99,
1B9U,,SOLUTION NMR,10.1074/JBC.274.22.15598,['GMA'],{'A': ['P0ABA0']},['A'],10336456,,15-FEB-99,"[('A', ['3.6.1.34'])]"
1BA2,2.1,X-RAY DIFFRACTION,10.1006/JMBI.1998.1785,,"{'A': ['P02925'], 'B': ['P02925']}","['A', 'B']",9641984,P 21 21 21,19-APR-98,
1BAL,,SOLUTION NMR,10.1021/BI00128A021,,{'A': ['P0AFG6']},['A'],1554728,,20-FEB-92,"[('A', ['2.3.1.61'])]"
1BAP,1.75,X-RAY DIFFRACTION,,"['ARB', 'ARA']",{'A': ['P02924']},['A'],2204627,P 21 21 21,15-NOV-91,
1BBL,,SOLUTION NMR,10.1021/BI00128A021,,{'A': ['P0AFG6']},['A'],1554728,,20-FEB-92,"[('A', ['2.3.1.61'])]"
1BBU,2.7,X-RAY DIFFRACTION,10.1021/BI001487R,['LYS'],{'A': ['P0A8N3']},['A'],11041850,P 61 2 2,24-APR-98,"[('A', ['6.1.1.6'])]"
1BBW,2.7,X-RAY DIFFRACTION,10.1021/BI001487R,,{'A': ['P0A8N3']},['A'],11041850,P 61 2 2,24-APR-98,"[('A', ['6.1.1.6'])]"
1BDO,1.8,X-RAY DIFFRACTION,10.1016/S0969-2126(01)00277-5,['BTN'],{'A': ['P0ABD8']},['A'],8747466,P 21 21 2,21-NOV-95,"[('A', ['6.4.1.2'])]"
1BDU,2.1,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00086-0,"['PO4', 'DUR', 'FMT']",{'A': ['P0A884']},['A'],9687366,I 21 3,27-JUN-97,"[('A', ['2.1.1.45'])]"
1BID,2.2,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00086-0,"['UMP', 'FMT']",{'A': ['P0A884']},['A'],9687366,I 21 3,27-JUN-97,"[('A', ['2.1.1.45'])]"
1BIQ,2.05,X-RAY DIFFRACTION,10.1021/BI9806403,"['FE', 'HG', 'FE2', 'MTY', 'OH']","{'A': ['P69924'], 'B': ['P69924']}","['B', 'A']",9692970,P 21 21 21,18-JUN-98,"[('B', ['1.17.4.1']), ('A', ['1.17.4.1'])]"
1BJG,2.3,X-RAY DIFFRACTION,10.1021/BI9810510,"['TMF', 'UFP', 'CXM']",{'A': ['P0A884']},['A'],9753479,I 21 3,25-JUN-98,"[('A', ['2.1.1.45'])]"
1BJN,2.3,X-RAY DIFFRACTION,10.1006/JMBI.1998.2506,['LLP'],"{'A': ['P23721'], 'B': ['P23721']}","['A', 'B']",10024454,P 21 21 21,25-JUN-98,"[('A', ['2.6.1.52']), ('B', ['2.6.1.52'])]"
1BJO,2.8,X-RAY DIFFRACTION,10.1006/JMBI.1998.2506,"['PLP', 'LLP', 'GAM']","{'A': ['P23721'], 'B': ['P23721']}","['A', 'B']",10024454,P 21 21 21,25-JUN-98,"[('A', ['2.6.1.52']), ('B', ['2.6.1.52'])]"
1BL5,2.5,X-RAY DIFFRACTION,10.1038/2331,"['MG', 'AKG', 'NAP']",{'A': ['P08200']},['A'],9783749,P 43 21 2,23-JUL-98,"[('A', ['1.1.1.42'])]"
1BMT,3.0,X-RAY DIFFRACTION,,['COB'],"{'A': ['P13009'], 'B': ['P13009']}","['A', 'B']",7992050,P 21 21 21,02-SEP-94,"[('A', ['2.1.1.13']), ('B', ['2.1.1.13'])]"
1BNC,2.4,X-RAY DIFFRACTION,10.1021/BI00200A004,['PO4'],"{'A': ['P24182'], 'B': ['P24182']}","['A', 'B']",7915138,P 21 21 21,06-JUL-94,"[('A', ['6.3.4.14']), ('B', ['6.3.4.14'])]"
1BO5,3.2,X-RAY DIFFRACTION,10.1021/BI981616S,"['GOL', 'FBP']","{'Z': ['P0A6F3'], 'O': ['P0A6F3']}","['Z', 'O']",9843423,P 41 21 2,10-AUG-98,"[('Z', ['2.7.1.30']), ('O', ['2.7.1.30'])]"
1BOT,3.05,X-RAY DIFFRACTION,10.1021/BI981616S,"['GOL', 'EPE']","{'Z': ['P0A6F3'], 'O': ['P0A6F3']}","['Z', 'O']",9843423,P 41 21 2,05-AUG-98,"[('Z', ['2.7.1.30']), ('O', ['2.7.1.30'])]"
1BQ1,2.5,X-RAY DIFFRACTION,10.1006/JMBI.1998.2205,"['UMP', 'CB3', 'CXM']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",9826509,P 63,20-AUG-98,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
1BQ2,2.2,X-RAY DIFFRACTION,10.1006/JMBI.1998.2205,['PO4'],{'A': ['P0A884']},['A'],9826509,I 21 3,20-AUG-98,"[('A', ['2.1.1.45'])]"
1BQ7,2.8,X-RAY DIFFRACTION,,,"{'A': ['P0AEG4'], 'C': ['P0AEG4'], 'B': ['P0AEG4'], 'E': ['P0AEG4'], 'D': ['P0AEG4'], 'F': ['P0AEG4']}","['A', 'C', 'B', 'F', 'D', 'E']",10210188,P 1 21 1,21-AUG-98,
1BQA,2.1,X-RAY DIFFRACTION,10.1021/BI981467D,['LLP'],"{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",9893985,P 1 21 1,13-AUG-98,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1BQD,2.1,X-RAY DIFFRACTION,10.1021/BI981467D,['LLP'],"{'A': ['P00509'], 'B': ['P00509']}","['A', 'B']",9893985,P 1 21 1,14-AUG-98,"[('A', ['2.6.1.1']), ('B', ['2.6.1.1'])]"
1BRM,2.5,X-RAY DIFFRACTION,10.1006/JMBI.1999.2828,,"{'A': ['P0A9Q9'], 'C': ['P0A9Q9'], 'B': ['P0A9Q9']}","['A', 'C', 'B']",10369777,P 21 21 2,24-AUG-98,"[('A', ['1.2.1.11']), ('C', ['1.2.1.11']), ('B', ['1.2.1.11'])]"
1BS0,1.65,X-RAY DIFFRACTION,10.1006/JMBI.1998.2086,['SO4'],{'A': ['P12998']},['A'],9813126,P 31 1 2,31-AUG-98,"[('A', ['2.3.1.47'])]"
1BS1,1.8,X-RAY DIFFRACTION,,"['MG', 'ADP', 'DAA']",{'A': ['P13000']},['A'],9865950,C 1 2 1,31-AUG-98,"[('A', ['6.3.3.3'])]"
1BSH,,SOLUTION NMR,10.1074/JBC.273.41.26645,,{'A': ['P0A6E6']},['A'],9756905,,27-AUG-98,"[('A', ['3.6.1.34'])]"
1BSN,,SOLUTION NMR,10.1074/JBC.273.41.26645,,{'A': ['P0A6E6']},['A'],9756905,,28-AUG-98,"[('A', ['3.6.1.34'])]"
1BSV,2.2,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00157-9,['NDP'],{'A': ['P32055']},['A'],9862812,P 32 2 1,31-AUG-98,
1BT9,3.0,X-RAY DIFFRACTION,10.1021/BI981215C,,{'A': ['P02931']},['A'],9843370,P 3 2 1,01-SEP-98,
1BU6,2.37,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00140-3,"['SO4', 'GOL']","{'Y': ['P0A6F3'], 'X': ['P0A6F3'], 'Z': ['P0A6F3'], 'O': ['P0A6F3']}","['Z', 'O', 'Y', 'X']",9817843,P 1 21 1,30-AUG-98,"[('Z', ['2.7.1.30']), ('O', ['2.7.1.30']), ('Y', ['2.7.1.30']), ('X', ['2.7.1.30'])]"
1BWF,3.0,X-RAY DIFFRACTION,10.1021/BI982460Z,"['ATF', 'GOL', 'MG']","{'Y': ['P0A6F3'], 'O': ['P0A6F3']}","['O', 'Y']",10090737,C 2 2 21,23-SEP-98,"[('O', ['2.7.1.30']), ('Y', ['2.7.1.30'])]"
1BWS,2.2,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00144-0,['NDP'],{'A': ['P32055']},['A'],9817848,P 32 2 1,25-SEP-98,
1BXK,1.9,X-RAY DIFFRACTION,,['NAD'],"{'A': ['P27830'], 'B': ['P27830']}","['A', 'B']",,P 21 21 21,05-OCT-98,"[('A', ['4.2.1.46']), ('B', ['4.2.1.46'])]"
1BXR,2.1,X-RAY DIFFRACTION,10.1021/BI982517H,"['NET', 'CL', 'K', 'MN', 'ORN', 'ANP']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['F', 'A', 'C', 'B', 'E', 'D', 'G', 'H']",10029528,P 21 21 21,08-OCT-98,"[('F', ['6.3.5.5']), ('A', ['6.3.5.5']), ('C', ['6.3.5.5']), ('B', ['6.3.5.5']), ('E', ['6.3.5.5']), ('D', ['6.3.5.5']), ('G', ['6.3.5.5']), ('H', ['6.3.5.5'])]"
1BXW,2.5,X-RAY DIFFRACTION,10.1038/2983,['C8E'],{'A': ['P0A910']},['A'],9808047,C 1 2 1,03-OCT-98,
1BY3,2.74,X-RAY DIFFRACTION,10.1016/S0092-8674(00)81700-6,['OES'],{'A': ['P06971']},['A'],9865695,C 1 2 1,22-OCT-98,
1BY5,2.6,X-RAY DIFFRACTION,10.1016/S0092-8674(00)81700-6,"['OES', 'FE', 'AHO']","{'A': ['P06971'], 'B': ['PDB-B']}","['A', 'B']",9865695,C 1 2 1,23-OCT-98,
1BYI,0.97,X-RAY DIFFRACTION,10.1107/S090744499801381X,,{'A': ['P13000']},['A'],10089457,C 1 2 1,15-OCT-98,"[('A', ['6.3.3.3'])]"
1C0A,2.4,X-RAY DIFFRACTION,10.1093/EMBOJ/18.22.6532,"['AMO', 'G7M', 'AMP', 'SO4', '5MU', 'H2U', '4SU', 'QUO', 'PSU']","{'A': ['P21889'], 'B': ['PDB-B']}","['A', 'B']",10562565,P 43 21 2,15-JUL-99,"[('A', ['6.1.1.12'])]"
1C0N,2.8,X-RAY DIFFRACTION,10.1021/BI991732A,"['PLP', 'ACY']",{'A': ['P77444']},['A'],10684605,P 43 21 2,17-JUL-99,
1C0V,,SOLUTION NMR,10.1021/BI980511M,,{'A': ['P68699']},['A'],9636021,,22-JUL-99,"[('A', ['3.6.1.34'])]"
1C14,2.0,X-RAY DIFFRACTION,,"['NAD', 'TCL']","{'A': ['P0AEK4'], 'B': ['P0AEK4']}","['A', 'B']",10595560,P 61 2 2,20-JUL-99,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]"
1C17,,SOLUTION NMR,10.1038/46224,,"{'A': ['P68699'], 'C': ['P68699'], 'B': ['P68699'], 'E': ['P68699'], 'D': ['P68699'], 'G': ['P68699'], 'F': ['P68699'], 'I': ['P68699'], 'H': ['P68699'], 'K': ['P68699'], 'J': ['P68699'], 'M': ['P0AB98'], 'L': ['P68699']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L']",10580496,,20-JUL-99,
1C2T,2.1,X-RAY DIFFRACTION,10.1021/BI991888A,"['GAR', 'NHS']","{'A': ['P08179'], 'B': ['P08179']}","['A', 'B']",10606510,P 1 21 1,26-JUL-99,"[('A', ['2.1.2.2']), ('B', ['2.1.2.2'])]"
1C30,2.0,X-RAY DIFFRACTION,10.1021/BI991741J,"['NET', 'K', 'ADP', 'CL', 'PO4', 'MN', 'ORN']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['G', 'F', 'A', 'C', 'B', 'E', 'D', 'H']",10587438,P 21 21 21,24-JUL-99,"[('G', ['6.3.5.5']), ('F', ['6.3.5.5']), ('A', ['6.3.5.5']), ('C', ['6.3.5.5']), ('B', ['6.3.5.5']), ('E', ['6.3.5.5']), ('D', ['6.3.5.5']), ('H', ['6.3.5.5'])]"
1C3E,2.1,X-RAY DIFFRACTION,10.1021/BI991888A,"['NHR', 'GAR']","{'A': ['P08179'], 'B': ['P08179']}","['A', 'B']",10606510,P 1 21 1,27-JUL-99,"[('A', ['2.1.2.2']), ('B', ['2.1.2.2'])]"
1C3O,2.1,X-RAY DIFFRACTION,10.1021/BI991741J,"['GLN', 'NET', 'PO4', 'ADP', 'CL', 'K', 'MN', 'ORN']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['G', 'F', 'A', 'C', 'B', 'E', 'D', 'H']",10587438,P 21 21 21,28-JUL-99,"[('G', ['6.3.5.5']), ('F', ['6.3.5.5']), ('A', ['6.3.5.5']), ('C', ['6.3.5.5']), ('B', ['6.3.5.5']), ('E', ['6.3.5.5']), ('D', ['6.3.5.5']), ('H', ['6.3.5.5'])]"
1C4T,3.0,X-RAY DIFFRACTION,,['SO4'],"{'A': ['P0AFG6'], 'C': ['P0AFG6'], 'B': ['P0AFG6']}","['A', 'C', 'B']",10739245,P 31 2 1,22-SEP-99,"[('A', ['2.3.1.61']), ('C', ['2.3.1.61']), ('B', ['2.3.1.61'])]"
1C8U,1.9,X-RAY DIFFRACTION,10.1038/76776,['LDA'],"{'A': ['P0AGG2'], 'B': ['P0AGG2']}","['A', 'B']",10876240,C 2 2 21,29-JUL-99,"[('A', ['3.1.2.-']), ('B', ['3.1.2.-'])]"
1C99,,SOLUTION NMR,10.1038/46224,,{'A': ['P68699']},['A'],10580496,,30-APR-99,"[('A', ['3.6.1.34'])]"
1C9C,2.4,X-RAY DIFFRACTION,10.1074/JBC.275.25.18939,['PP3'],{'A': ['P00509']},['A'],10858450,C 2 2 21,02-AUG-99,"[('A', ['2.6.1.1'])]"
1CD5,2.3,X-RAY DIFFRACTION,10.1016/S0969-2126(99)80069-0,,{'A': ['P0A759']},['A'],10378272,P 63 2 2,05-MAR-99,"[('A', ['5.3.1.10'])]"
1CDD,2.8,X-RAY DIFFRACTION,10.1073/PNAS.89.13.6114,['PO4'],"{'A': ['P08179'], 'B': ['P08179']}","['A', 'B']",1631098,C 2 2 21,15-MAY-92,"[('A', ['2.1.2.2']), ('B', ['2.1.2.2'])]"
1CDE,2.5,X-RAY DIFFRACTION,10.1073/PNAS.89.13.6114,"['DZF', 'GAR']","{'A': ['P08179'], 'C': ['P08179'], 'B': ['P08179'], 'D': ['P08179']}","['A', 'C', 'B', 'D']",1631098,P 1,15-MAY-92,"[('A', ['2.1.2.2']), ('C', ['2.1.2.2']), ('B', ['2.1.2.2']), ('D', ['2.1.2.2'])]"
1CE8,2.1,X-RAY DIFFRACTION,10.1074/JBC.274.32.22502,"['NET', 'PO4', 'ADP', 'CL', 'K', 'IMP', 'MN', 'ORN']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['G', 'F', 'A', 'C', 'B', 'E', 'D', 'H']",10428826,P 21 21 21,18-MAR-99,"[('G', ['6.3.5.5']), ('F', ['6.3.5.5']), ('A', ['6.3.5.5']), ('C', ['6.3.5.5']), ('B', ['6.3.5.5']), ('E', ['6.3.5.5']), ('D', ['6.3.5.5']), ('H', ['6.3.5.5'])]"
1CF9,1.8,X-RAY DIFFRACTION,10.1074/JBC.274.39.27717,['HEM'],"{'A': ['P21179'], 'C': ['P21179'], 'B': ['P21179'], 'D': ['P21179']}","['A', 'C', 'B', 'D']",10488114,P 1 21 1,24-MAR-99,"[('A', ['1.11.1.6']), ('C', ['1.11.1.6']), ('B', ['1.11.1.6']), ('D', ['1.11.1.6'])]"
1CG0,2.5,X-RAY DIFFRACTION,10.1021/BI990159S,"['GDP', 'MG', 'HDA', 'IMO']",{'A': ['P0A7D4']},['A'],10346917,P 32 2 1,26-MAR-99,"[('A', ['6.3.4.4'])]"
1CG1,2.5,X-RAY DIFFRACTION,10.1021/BI990159S,"['GDP', 'MG', 'HDA', 'IMO']",{'A': ['P0A7D4']},['A'],10346917,P 32 2 1,26-MAR-99,"[('A', ['6.3.4.4'])]"
1CG3,2.5,X-RAY DIFFRACTION,10.1021/BI990159S,"['GDP', 'MG', 'HDA', 'IMO']",{'A': ['P0A7D4']},['A'],10346917,P 32 2 1,26-MAR-99,"[('A', ['6.3.4.4'])]"
1CG4,2.5,X-RAY DIFFRACTION,10.1021/BI990159S,"['GDP', 'MG', 'IMO']",{'A': ['P0A7D4']},['A'],10346917,P 32 2 1,26-MAR-99,"[('A', ['6.3.4.4'])]"
1CH8,2.5,X-RAY DIFFRACTION,10.1074/JBC.274.25.17505,"['MG', 'NO3', 'HDA', 'IMP', 'GPX']",{'A': ['P0A7D4']},['A'],10364182,P 32 2 1,31-MAR-99,"[('A', ['6.3.4.4'])]"
1CHU,2.2,X-RAY DIFFRACTION,10.1016/S0969-2126(99)80099-9,,{'A': ['P10902']},['A'],10425677,P 32 2 1,29-MAR-99,
1CIB,2.3,X-RAY DIFFRACTION,10.1074/JBC.274.25.17505,"['GDP', 'MG', 'NO3', 'HDA', 'IMP']",{'A': ['P0A7D4']},['A'],10364182,P 32 2 1,31-MAR-99,"[('A', ['6.3.4.4'])]"
1CKE,1.75,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00150-6,['SO4'],{'A': ['P0A6I0']},['A'],9862805,P 63,24-SEP-98,"[('A', ['2.7.4.14'])]"
1CL0,2.5,X-RAY DIFFRACTION,,['FAD'],{'A': ['P0A9P4']},['A'],10595539,P 63 2 2,04-MAY-99,"[('A', ['1.6.4.5'])]"
1CL1,1.83,X-RAY DIFFRACTION,10.1006/JMBI.1996.0508,"['LLP', 'BCT']","{'A': ['P06721'], 'B': ['P06721']}","['A', 'B']",8831789,C 2 2 21,02-SEP-97,"[('A', ['4.4.1.8']), ('B', ['4.4.1.8'])]"
1CL2,2.2,X-RAY DIFFRACTION,10.1021/BI970630M,['PPG'],"{'A': ['P06721'], 'B': ['P06721']}","['A', 'B']",9376370,C 2 2 21,04-SEP-97,"[('A', ['4.4.1.8']), ('B', ['4.4.1.8'])]"
1CLI,2.5,X-RAY DIFFRACTION,10.1016/S0969-2126(99)80182-8,['SO4'],"{'A': ['P08178'], 'C': ['P08178'], 'B': ['P08178'], 'D': ['P08178']}","['A', 'C', 'B', 'D']",10508786,P 21 21 21,28-APR-99,"[('A', ['6.3.3.1']), ('C', ['6.3.3.1']), ('B', ['6.3.3.1']), ('D', ['6.3.3.1'])]"
1CM2,1.8,X-RAY DIFFRACTION,10.1074/JBC.274.31.21776,,{'A': ['P0AA04']},['A'],10419492,P 1 21 1,13-MAY-99,
1CM3,1.6,X-RAY DIFFRACTION,10.1074/JBC.274.31.21776,,{'A': ['P0AA04']},['A'],10419492,P 1 21 1,13-MAY-99,
1CM5,2.3,X-RAY DIFFRACTION,10.1038/13341,"['CO3', 'NA']","{'A': ['P09373'], 'B': ['P09373']}","['A', 'B']",10504733,P 43 21 2,14-MAY-99,"[('A', ['2.3.1.54']), ('B', ['2.3.1.54'])]"
1CM7,2.06,X-RAY DIFFRACTION,10.1006/JMBI.1996.0797,,"{'A': ['P30125'], 'B': ['P30125']}","['A', 'B']",9086278,P 1 21 1,17-MAY-99,
1CQ6,2.7,X-RAY DIFFRACTION,10.1074/JBC.275.25.18939,['PY4'],{'A': ['P00509']},['A'],10858450,C 2 2 21,06-AUG-99,"[('A', ['2.6.1.1'])]"
1CQ7,2.4,X-RAY DIFFRACTION,10.1074/JBC.275.25.18939,['PY5'],{'A': ['P00509']},['A'],10858450,C 2 2 21,06-AUG-99,"[('A', ['2.6.1.1'])]"
1CQ8,2.4,X-RAY DIFFRACTION,10.1074/JBC.275.25.18939,['PY6'],{'A': ['P00509']},['A'],10858450,C 2 2 21,06-AUG-99,"[('A', ['2.6.1.1'])]"
1CQI,3.3,X-RAY DIFFRACTION,10.1021/BI991696F,"['COA', 'ADP', 'PO4', 'MG']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9']}","['A', 'B', 'E', 'D']",10625475,P 43 2 2,06-AUG-99,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('E', ['6.2.1.5']), ('D', ['6.2.1.5'])]"
1CQJ,2.9,X-RAY DIFFRACTION,10.1021/BI991696F,"['COA', 'PO4']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9']}","['A', 'B', 'D', 'E']",10625475,P 43 2 2,06-AUG-99,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('D', ['6.2.1.5']), ('E', ['6.2.1.5'])]"
1CS0,2.0,X-RAY DIFFRACTION,10.1021/BI991741J,"['NET', 'CYG', 'PO4', 'ADP', 'CL', 'K', 'MN', 'ORN']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['G', 'F', 'A', 'C', 'B', 'E', 'D', 'H']",10587438,P 21 21 21,16-AUG-99,"[('G', ['6.3.5.5']), ('F', ['6.3.5.5']), ('A', ['6.3.5.5']), ('C', ['6.3.5.5']), ('B', ['6.3.5.5']), ('E', ['6.3.5.5']), ('D', ['6.3.5.5']), ('H', ['6.3.5.5'])]"
1CS1,1.5,X-RAY DIFFRACTION,10.1093/EMBOJ/17.23.6827,"['DHD', 'LLP']","{'A': ['P00935'], 'C': ['P00935'], 'B': ['P00935'], 'D': ['P00935']}","['A', 'C', 'D', 'B']",9843488,C 1 2 1,23-SEP-98,"[('A', ['4.2.99.9']), ('C', ['4.2.99.9']), ('D', ['4.2.99.9']), ('B', ['4.2.99.9'])]"
1CT9,2.0,X-RAY DIFFRACTION,10.1021/BI9915768,"['GLN', 'IUM', 'AMP', 'CL']","{'A': ['P22106'], 'C': ['P22106'], 'B': ['P22106'], 'D': ['P22106']}","['A', 'C', 'B', 'D']",10587437,P 21 21 21,20-AUG-99,"[('A', ['6.3.5.4']), ('C', ['6.3.5.4']), ('B', ['6.3.5.4']), ('D', ['6.3.5.4'])]"
1CTT,2.2,X-RAY DIFFRACTION,10.1021/BI00014A003,"['ZN', 'DHZ']",{'A': ['P0ABF6']},['A'],7718553,P 31 2 1,11-FEB-95,"[('A', ['3.5.4.5'])]"
1CTU,2.3,X-RAY DIFFRACTION,10.1021/BI00014A003,"['ZEB', 'ZN']",{'A': ['P0ABF6']},['A'],7718553,P 31 2 1,11-FEB-95,"[('A', ['3.5.4.5'])]"
1CW1,2.1,X-RAY DIFFRACTION,10.1006/JMBI.1999.3195,"['SO4', 'MN', 'ICT']",{'A': ['P08200']},['A'],10623532,P 43 21 2,25-AUG-99,"[('A', ['1.1.1.42'])]"
1CW4,2.1,X-RAY DIFFRACTION,10.1006/JMBI.1999.3195,"['SO4', 'MN', 'AKG']",{'A': ['P08200']},['A'],10623532,P 43 21 2,25-AUG-99,"[('A', ['1.1.1.42'])]"
1CW7,2.6,X-RAY DIFFRACTION,10.1006/JMBI.1999.3195,"['SO4', 'MG', 'ICT']",{'A': ['P08200']},['A'],10623532,P 43 21 2,25-AUG-99,"[('A', ['1.1.1.42'])]"
1CYW,2.5,X-RAY DIFFRACTION,10.1073/PNAS.92.26.11955,,{'A': ['P0ABJ1']},['A'],8618822,I 2 2 2,22-AUG-95,"[('A', ['1.10.3.-'])]"
1CYX,2.3,X-RAY DIFFRACTION,10.1073/PNAS.92.26.11955,['CUA'],{'A': ['P0ABJ1']},['A'],8618822,P 21 21 21,22-AUG-95,"[('A', ['1.10.3.-'])]"
1CZC,2.5,X-RAY DIFFRACTION,,"['GUA', 'PLP']",{'A': ['P00509']},['A'],10731702,C 2 2 21,02-SEP-99,"[('A', ['2.6.1.1'])]"
1CZE,2.4,X-RAY DIFFRACTION,,"['PLP', 'SIN']",{'A': ['P00509']},['A'],10731702,C 2 2 21,02-SEP-99,"[('A', ['2.6.1.1'])]"
1D09,2.1,X-RAY DIFFRACTION,21>3.3.CO;2-6,"['ZN', 'PAL']","{'A': ['P0A786'], 'C': ['P0A786'], 'B': ['P0A7F3'], 'D': ['P0A7F3']}","['A', 'B', 'C', 'D']",10651286,P 3 2 1,09-SEP-99,"[('A', ['2.1.3.2']), ('C', ['2.1.3.2'])]"
1D0K,2.02,X-RAY DIFFRACTION,10.1021/BI992161P,"['NAG', 'DGL', 'AMU', 'GOL', 'CA', 'ALA']",{'A': ['P41052']},['A'],10684641,P 21 21 21,12-SEP-99,
1D0L,1.97,X-RAY DIFFRACTION,10.1021/BI992161P,"['BLG', 'CA']",{'A': ['P41052']},['A'],10684641,P 21 21 21,12-SEP-99,
